6c7i	EP7	A	ic50=0.38nM
6c7i	EP7	C	ic50=0.38nM
6c7i	EP7	D	ic50=0.38nM
6cyb	FKV	A	ic50=0.96nM
6cyb	FKV	B	ic50=0.96nM
6b97	CZY	B	Ki=0.237uM
6b97	CZY	A	Ki=0.237uM
5tzz	7OJ	B	ic50=0.014uM
5tzz	7OJ	C	ic50=0.014uM
5tzz	7OJ	A	ic50=0.014uM
5tzz	7OJ	D	ic50=0.014uM
5vp1	9GA	A	ic50=0.51nM
5vp1	9GA	B	ic50=0.51nM
5vp1	9GA	C	ic50=0.51nM
4htx	19F	C	ic50=4.7nM
4htx	19F	D	ic50=4.7nM
4htx	19F	A	ic50=4.7nM
4htx	19F	B	ic50=4.7nM
5tz3	7OM	B	ic50=0.14uM
5tz3	7OM	D	ic50=0.14uM
5tz3	7OM	C	ic50=0.14uM
5tz3	7OM	A	ic50=0.14uM
5tzh	7OP	B	ic50=0.679uM
5tzh	7OP	C	ic50=0.679uM
5tzh	7OP	A	ic50=0.679uM
5tzh	7OP	D	ic50=0.679uM
6znd	QMZ	A	ic50=66nM
6znd	QMZ	B	ic50=66nM
5tzc	7OJ	B	ic50=0.008uM
5tzc	7OJ	C	ic50=0.008uM
5tzc	7OJ	A	ic50=0.008uM
5tzc	7OJ	D	ic50=0.008uM
3itu	IBM	A	ic50=40uM
3itu	IBM	B	ic50=40uM
3itu	IBM	C	ic50=40uM
3itu	IBM	D	ic50=40uM
6c7f	EOS	C	ic50=0.00000001M
6c7f	EOS	B	ic50=0.00000001M
6c7f	EOS	A	ic50=0.00000001M
6c7e	EOG	D	ic50=0.24nM
6c7e	EOG	C	ic50=0.24nM
6c7e	EOG	B	ic50=0.24nM
6c7e	EOG	A	ic50=0.24nM
6c7j	EPV	C	ic50=1.32nM
6c7j	EPV	A	ic50=1.32nM
6c7j	EPV	D	ic50=1.32nM
6c7j	EPV	B	ic50=1.32nM
4jib	1L6	B	ic50=45nM
4jib	1L6	C	ic50=45nM
4jib	1L6	D	ic50=45nM
4jib	1L6	A	ic50=45nM
5u7l	7Y4	B	ic50=4.9nM
5u7l	7Y4	C	ic50=4.9nM
